//=========================================================================================================================================
// NHServers www.nhservers.com.br
//=========================================================================================================================================
//=================================================================================================================//=================================================================================================================
// - ColorName Max: 7
// - AL  = This bot is only for VIP users
// - Class    = 0,1,2	DW,SM,GM  = 16,17,18	DK,BK,BM  = 32,33,34	Elf,ME,HE
// -	      = 48,49,50 MG,DM    = 64,65,66	DL,LE     = 80,81,82	SU,BS,DS
// -	      = 96,98 RF,FM
// - GensFamily (1 Vanert, 2 Duprian)
// - Attention: if or if put 10 letters in the names of the Bot
//=================================================================================================================
//=================================================================================================================
//BotIndex	Class	Enabled	 ColorName	Zen			PCPoint	MaxLvl	Name			Map	X	Y	Dir
1
//novos teste
//bk
2			18		1	    	0	    0	  		0		400		"[VCoin] BK"	79	115	113	4 
5			18		1	    	0	    0	  		0		400		"[CA$H] BK"				79	117	112	4 
6			18		1	    	0	    0	  		0		400		"[VCoin] BK"				79	113	119	3 
7			18		1	    	0	    0	  		0		400		"[CA$H] BK"				79	113	117	3 
//mg
8			49		1	    	0	    0	  		0		400		"[VCoin] MG"				79	125	148	2
9			50		1	    	0	    0	  		0		400		"[CA$H] MG"				79	125	151	2  
//dl
10			66		1	    	0	    0	  		0		400		"[VCoin] DL"				79	117	146	1  
11			66		1	    	0	    0	  		0		400		"[CA$H] DL"				79	114	143	2  
//sum
12			82		1	    	0	    0	  		0		400		"[VCoin]SUM"				79	133	112	3  
13			82		1	    	0	    0	  		0		400		"[CA$H]SUM"				79	133	109	4 
//sm
14			2		1	    	0	    0	  		0		400		"[VCoin] SM"				79	145	116	1 
15			2		1	    	0	    0	  		0		400		"[VCoin] SM"					79	150	111	7 
16			2		1	    	0	    0	  		0		400		"[CA$H] SM"				79	148	116	1 
17			2		1	    	0	    0	  		0		400		"[CA$H] SM"					79	150	113	7 
//elf 
0			34		1	    	0	    0	  		0		400		"[VCoin]ELF"				79	139	140	2 
1			34		1	    	0	    0	  		0		400		"[VCoin]ELF"				79	142	141	1 
3			34		1	    	0	    0	  		0		400		"[CA$H]ELF"				79	137	140	2 
4			34		1	    	0	    0	  		0		400		"[CA$H]ELF"				79	145	141	1 
//18			34		1	    	0	    0	  		0		400		" "				79	147	138	1 
//19			34		1	    	0	    0	  		0		400		" "				79	147	136	1 
end
//=================================================================================================================
//=================================================================================================================
// -   Bot	Only	Active!		GensReq			Gens
// -   Index	_AL	ReqGens		Contribution	Family
2
//		0		0	   0	  	100				0
//		1		0	   0	  	100				0
//		2		0	   0	  	100				0
//		3		0	   0	  	100				0
//		4		0	   0	  	100				0
//		5		0	   0	  	100				0
//novos teste
end
//=================================================================================================================
//=================================================================================================================
// - 0 = Sword	1 = Shield	2 = Helm	3 = Armor	
// - 4 = Pants	5 = Gloves	6 = Boots	7 = Wings	8 = Pet


// - BotIndex	Slot	Type	Index	Level	Opt
3
//ME===============================================================================================================
	0	2	7	12	0	15
	0	3	8	12	0	15
	0	4	9	12	0	15
	0	5	10	12	0	15
	0	6	11	12	0	15
	0	7	12	291	0	15
	//0	8	13	65	0	0
	//
	1	2	7	24	0	15
	1	3	8	24	0	15
	1	4	9	24	0	15
	1	5	10	24	0	15
	1	6	11	24	0	15
	1	7	12	291	0	15
	//0	8	13	65	0	0
	//
	3	2	7	12	15	15
	3	3	8	12	15	15
	3	4	9	12	15	15
	3	5	10	12	15	15
	3	6	11	12	15	15
	3	7	12	293	15	15
	//0	8	13	65	15	0
	//
	4	2	7	24	15	15
	4	3	8	24	15	15
	4	4	9	24	15	15
	4	5	10	24	15	15
	4	6	11	24	15	15
	4	7	12	293	15	15
	//0	8	13	65	0	0
	//
	//18	2	7	0	0	15
	//18	3	8	0	0	15
	//18	4	9	0	0	15
	//18	5	10	0	0	15
	//18	6	11	0	0	15
	//18	7	12	0	0	15
	//0	8	13	65	0	0
	//
	//19	2	7	0	0	15
	//19	3	8	0	0	15
	//19	4	9	0	0	15
	//19	5	10	0	0	15
	//19	6	11	0	0	15
	//19	7	12	0	0	15
	//0	8	13	65	0	0
//SM===============================================================================================================
	14	2	7	3	00	15
	14	3	8	3	00	15
	14	4	9	3	00	15
	14	5	10	3	00	15
	14	6	11	3	00	15
	14	7	12	291	00	15
	//1	8	13	0	0	0
	//
	15	2	7	30	00	15
	15	3	8	30	00	15
	15	4	9	30	00	15
	15	5	10	30	00	15
	15	6	11	30	00	15
	15	7	12	291	00	15
	//1	8	13	0	0	0
	//
	16	2	7	3	15	15
	16	3	8	3	15	15
	16	4	9	3	15	15
	16	5	10	3	15	15
	16	6	11	3	15	15
	16	7	12	293	00	15
	//1	8	13	0	0	0
	//
	17	2	7	30	15	15
	17	3	8	30	15	15
	17	4	9	30	15	15
	17	5	10	30	15	15
	17	6	11	30	15	15
	17	7	12	293	00	15
	//1	8	13	0	0	0
//BM===============================================================================================================
	2			2		7		09		00		15
	2			3		8		09		00		15
	2			4		9		09		00		15
	2			5		10		09		00		15
	2			6		11		09		00		15
	2			7		12		291		00		15
	//2			8		13		0		0		0
	//
	5			2		7		09		15		15
	5			3		8		09		15		15
	5			4		9		09		15		15
	5			5		10		09		15		15
	5			6		11		09		15		15
	5			7		12		293		00		15
	//2			8		13		0		0		0
	//
	6			2		7		17		00		15
	6			3		8		17		00		15
	6			4		9		17		00		15
	6			5		10		17		00		15
	6			6		11		17		00		15
	6			7		12		291		00		15
	//2			8		13		0		0		0
	//
	7			2		7		17		15		15
	7			3		8		17		15		15
	7			4		9		17		15		15
	7			5		10		17		15		15
	7			6		11		17		15		15
	7			7		12		293		00		15
	//2			8		13		0		0		0
//MG===============================================================================================================
	8	3	8	23	00	15
	8	4	9	23	00	15	
	8	5	10	23	00	15
	8	6	11	23	00	15
	8	7	12	291	00	0
	//
	9	3	8	23	15	15
	9	4	9	23	15	15	
	9	5	10	23	15	15
