//CONFIGURACAO DE INVASOES/BOSS
//======================================================================================
//HORARIO DAS INVASOES
0
//SKELETON KING - 55
//Index   Year   Month   Day   DoW   Hour   Minute   Second
0         *      *       *     *     0      5        0
0         *      *       *     *     4      5        0
0         *      *       *     *     8      5        0
0         *      *       *     *     12     5        0
0         *      *       *     *     16     5        0
0         *      *       *     *     20     5        0

//RED DRAGON
//Index   Year   Month   Day   DoW   Hour   Minute   Second
1         *      *       *     *     0      15       0
1         *      *       *     *     4      15       0
1         *      *       *     *     8      15       0
1         *      *       *     *     12     15       0
1         *      *       *     *     16     15       0
1         *      *       *     *     20     15       0

//DOURADOS
//Index   Year   Month   Day   DoW   Hour   Minute   Second
2         *      *       *     *     0      25       0
2         *      *       *     *     4      25       0
2         *      *       *     *     8      25       0
2         *      *       *     *     12     25       0
2         *      *       *     *     16     25       0
2         *      *       *     *     20     25       0

//WHITE WIZARD
//Index   Year   Month   Day   DoW   Hour   Minute   Second
3         *      *       *     *     0      35       0
3         *      *       *     *     4      35       0
3         *      *       *     *     8      35       0
3         *      *       *     *     12     35       0
3         *      *       *     *     16     35       0
3         *      *       *     *     20     35       0

//GORGON - 18
//Index   Year   Month   Day   DoW   Hour   Minute   Second
4         *      *       *     *     9      00       0
4         *      *       *     *     17     00       0

//ICE QUEN - 25
//Index   Year   Month   Day   DoW   Hour   Minute   Second
5         *      *       *     *     9      30       0
5         *      *       *     *     17     30       0

//HIDRA - 49
//Index   Year   Month   Day   DoW   Hour   Minute   Second
6         *      *       *     *     10     00       0
6         *      *       *     *     18     00       0

//BALROG - 38
//Index   Year   Month   Day   DoW   Hour   Minute   Second 
7         *      *       *     *     10     30       0
7         *      *       *     *     18     30       0

//MEDUSA - 561
//Index   Year   Month   Day   DoW   Hour   Minute   Second
8         *      *       *     *     14     30       0
8         *      *       *     *     23     30       0

//SANGRENTA - 549,550,551,552
//Index   Year   Month   Day   DoW   Hour   Minute   Second
/9         *      *       *     *     11     00       0
9         *      *       *     *     19     00       0

//HELL MAINE - 309
//Index   Year   Month   Day   DoW   Hour   Minute   Second
10        *      *       *     *     19     10       0

//PHOENIX OF DARKNESS - 77
//Index   Year   Month   Day   DoW   Hour   Minute   Second
11        *      *       *     *     13     00       0
11        *      *       *     *     22     00       0

//DEATH BEAN KNIGHT - 63
//Index   Year   Month   Day   DoW   Hour   Minute   Second
12        *      *       *     *     13     30       0
12        *      *       *     *     22     30       0

//ZAICAN - 59
//Index   Year   Month   Day   DoW   Hour   Minute   Second
13        *      *       *     *     14     00       0
13        *      *       *     *     23     00       0
end
//======================================================================================

//======================================================================================
//MONSTRO, MENSAGENS E TEMPO DA INVASAO
1
//Index   InvasionName		RespawnMessage   DespawnMessage   BossIndex   BossMessage   InvasionTime   WarningTime	
0         "Skeleton King"   	192              0                055         202           600		   3
1         "Red Dragon"   		193              0                042         203           600		   3
2         "Golden Dragon"   	194              0                501         204           600		   3
3         "White Wizard"   		195              0                135         205           600		   3
4         "Gorgon"   			196              0                018         *             600		   3
