//=========================================================================================================================================									
//Index   	Level     	OpExe 	Zen	 Value	Coin1	Coin2	Coin3	SellValue	Comment
//  FULL +0 SEM HARMONY ****									
//NPC BK 01									
3584	0	63	100		0	1000	0	0	// Bronze Helm
3589	0	63	100		0	1000	0	0	// Leather Helm
3592	0	63	100		0	1000	0	0	// Brass Helm
3593	0	63	100		0	1000	0	0	// Plate Helm
4096	0	63	100		0	1000	0	0	// Bronze Armor
4101	0	63	100		0	1000	0	0	// Leather Armor
4104	0	63	100		0	1000	0	0	// Brass Armor
4105	0	63	100		0	1000	0	0	// Plate Armor
4608	0	63	100		0	1000	0	0	// Bronze Pants
4613	0	63	100		0	1000	0	0	// Leather Pants
4616	0	63	100		0	1000	0	0	// Brass Pants
4617	0	63	100		0	1000	0	0	// Plate Pants
5120	0	63	100		0	1000	0	0	// Bronze Gloves
5125	0	63	100		0	1000	0	0	// Leather Gloves
5128	0	63	100		0	1000	0	0	// Brass Gloves
5129	0	63	100		0	1000	0	0	// Plate Gloves
5632	0	63	100		0	1000	0	0	// Bronze Boots
5637	0	63	100		0	1000	0	0	// Leather Boots
5640	0	63	100		0	1000	0	0	// Brass Boots
5641	0	63	100		0	1000	0	0	// Plate Boots
3590	0	63	100		0	1000	0	0	// Scale Helm
4102	0	63	100		0	1000	0	0	// Scale Armor
4614	0	63	100		0	1000	0	0	// Scale Pants
5126	0	63	100		0	1000	0	0	// Scale Gloves
5638	0	63	100		0	1000	0	0	// Scale Boots
//==== fim bk01									
//									
//NPC BK 02									
3585	0	63	100		0	1000	0	0	// Dragon Helm
3600	0	63	100		0	1000	0	0	// Black Dragon Helm
3601	0	63	100		0	1000	0	0	// Dark Phoenix Helm
3605	0	63	100		0	1000	0	0	// Great Dragon Helm
4097	0	63	100		0	1000	0	0	// Dragon Armor
4112	0	63	100		0	1000	0	0	// Black Dragon Armor
4113	0	63	100		0	1000	0	0	// Dark Phoenix Armor
4117	0	63	100		0	1000	0	0	// Great Dragon Armor
4609	0	63	100		0	1000	0	0	// Dragon Pants
4624	0	63	100		0	1000	0	0	// Black Dragon Pants
4625	0	63	100		0	1000	0	0	// Dark Phoenix Pants
4629	0	63	100		0	1000	0	0	// Great Dragon Pants
5121	0	63	100		0	1000	0	0	// Dragon Gloves
5136	0	63	100		0	1000	0	0	// Black Dragon Gloves
5137	0	63	100		0	1000	0	0	// Dark Phoenix Gloves
5141	0	63	100		0	1000	0	0	// Great Dragon Gloves
5633	0	63	100		0	1000	0	0	// Dragon Boots
5648	0	63	100		0	1000	0	0	// Black Dragon Boots
5649	0	63	100		0	1000	0	0	// Dark Phoenix Boots
5653	0	63	100		0	1000	0	0	// Great Dragon Boots
3613	0	63	100		0	1400	0	0	// Dragon Knight Helm
4125	0	63	100		0	1400	0	0	// Dragon Knight Armor
4637	0	63	100		0	1400	0	0	// Dragon Knight Pants
5149	0	63	100		0	1400	0	0	// Dragon Knight Gloves
5661	0	63	100		0	1400	0	0	// Dragon Knight Boots
//FIM BK02									
//									
//NPC SM 01									
3586	0	63	100		0	1000	0	0	// Pad Helm
3588	0	63	100		0	1000	0	0	// Bone Helm
3587	0	63	100		0	1000	0	0	// Legendary Helm
3591	0	63	100		0	1000	0	0	// Sphinx Mask
4098	0	63	100		0	1000	0	0	// Pad Armor
4100	0	63	100		0	1000	0	0	// Bone Armor
4099	0	63	100		0	1000	0	0	// Legendary Armor
4103	0	63	100		0	1000	0	0	// Sphinx Armor
4610	0	63	100		0	1000	0	0	// Pad Pants
4612	0	63	100		0	1000	0	0	// Bone Pants
4611	0	63	100		0	1000	0	0	// Legendary Pants
4615	0	63	100		0	1000	0	0	// Sphinx Pants
5122	0	63	100		0	1000	0	0	// Pad Gloves
5124	0	63	100		0	1000	0	0	// Bone Gloves
5123	0	63	100		0	1000	0	0	// Legendary Gloves
5127	0	63	100		0	1000	0	0	// Sphinx Gloves
5634	0	63	100		0	1000	0	0	// Pad Boots
5636	0	63	100		0	1000	0	0	// Bone Boots
