//TUDO OK TUDO OK
//=========================================================================================================================================
// NPCS
//=========================================================================================================================================
0
//Monster	Map	Range	PositionX	PositionY	Direction	Comment
256		00	00	129		118		03		//Lahap
478		00	00	128		116		02		//Delgado
547		00	00	138		138		03		//Market Union Julia
375		00	00	132		161		03		//Chaos Card master
230		00	00	114		139		03		//Wendering Shield
250		00	00	122		109		03		//Wandering Merchant - DL 
246		00	00	120		142		02		//Weapon Ziena - MG
226		00	00	122		111		03		//Trainer - Pet DL
453		00	00	114		118		03		//Seed - PET
452		00	00	114		122		02		//Seed
451		00	00	153		114		07		//Tree
451		00	00	148		116		06		//Tree
451		00	00	139		148		02		//Tree
233		00	00	130		127		03		//Messenger of Archangel - Quest
240		00	00	151		144		08		//Safety Guardian - BAU	
479		00	00	124		145		02		//Porteiro Titus
451		00	00	122		108		01		//Tree
451		00	00	138		114		01		//Tree
244		00	00	125		135		01		//Barmaid Azul
250		00	00	182		133		03		//Wandering Merchant - DL
230		00	00	185		135		08		//Wendering Shield	
253		00	00	127		086		02		//Potion Girl Amy
251		00	00	116		141		03		//Hanzo the Blacksmith
255		00	00	123		135		01		//Lumen the Barmaid
254		00	00	118		113		03		//Pasi the Mage
240		00	00	146		110		03		//Safety Guardian
257		00	00	096		129		01		//Shadow Phantom Soldier
257		00	00	132		165		03		//Shadow Phantom Soldier
257		00	00	132		090		03		//Shadow Phantom Soldier
257		00	00	170		129		01		//Shadow Phantom Soldier
//578 		00	00	120		142		02		//weapons bolo - RF
//237		00	00	130		138		03		//Charon - Quest
//544		00	00	137		116		05		//Gens Vanert - Velho
//543		00	00	137		140		01		//Gens Duprian - Novo
//522		00	00	142		147		01		//Jerint Assistent
//385		00	00	130		121		03		//Mirage
//540		00	00	149		147		01		//Lugard
//451		00	00	120		108		01		//Tree
//451		00	00	128		147		03		//Tree
end

//=========================================================================================================================================
// SPOTS
//=========================================================================================================================================
1
//Monster      Map      Range      BeginPosX      BeginPosY      EndPosX      EndPosY      Direction      Quantity      Comment
003            00	4          180            124            180          124          -1             3             //Spider
002            00	4          183            128            184          129          -1             3             //Budge Dragon
003            00	4          188            120            188          120          -1             3             //Spider
002            00	4          188            120            188          120          -1             3             //Budge Dragon
003            00	4          191            138            191          138          -1             3             //Spider
002            00	4          191            138            191          138          -1             3             //Budge Dragon
000            00	4          138            083            138          083          -1             4             //Bull Fighter
000            00	4          155            077            155          077          -1             4             //Bull Fighter
000            00	4          142            064            142          064          -1             4             //Bull Fighter
006            00	4          134            175            135          175          -1             3             //Lich
014            00	4          132            175            132          175          -1             3             //Skeleton
006            00	4          140            218            140          175          -1             3             //Lich
014            00	4          140            218            140          218          -1             3             //Skeleton
006            00	4          127            184            127          184          -1             3             //Lich
014            00	4          127            184            127          284          -1             3             //Skeleton
006            00	4          151            187            151          187          -1             3             //Lich
014            00	4          151            187            151          187          -1             3             //Skeleton
001            00	4          086            124            086          124          -1             3             //Hound
004            00	4          080            135            080          135          -1             3             //Elite Bull Fighter
001            00	4          080            135            080          135          -1             3             //Hound
004            00	4          075            115            075          115          -1             3             //Elite Bull Fighter
001            00	4          075            115            075          115          -1             3             //Hound
004            00	4          086            124            086          124          -1             3             //Elite Bull Fighter
007            00	4          008            011            060          080          -1             10            //Giant
007            00	4          031            055            031          055          -1             4             //Giant
014            00	4          140            216            142          216          -1             3             //Skeleton
011            00	4          140            216            142          216          -1             3             //Ghost
//Monster      Map      Range      BeginPosX      BeginPosY      EndPosX      EndPosY      Direction      Quantity      Comment
003            00       30         180            090            226          244          -1             45            //Spider
002            00       30         180            090            226          244          -1             40            //Budge Dragon
002            00       30         135            020            240          088          -1             20            //Budge Dragon
000            00       30         135            020            240          088          -1             45            //Bull Fighter
006            00       30         095            168            175          244          -1             20            //LIch
014            00       30         095            168            175          244          -1             15            //Skeleton
001            00       30         008            011            094          244          -1             45            //Hound
004            00       30         008            011            094          244          -1             45            //Elite Bull Fighter
007            00       30         008            011            060          080          -1             15            //Giant
end

//=========================================================================================================================================
// MONSTERS
//=========================================================================================================================================
2
//Monster      Map      Range      PositionX      PositionY      Direction      Comment


end
