//TUDO OK TUDO OK 
//=========================================================================================================================================
// NPCS
//=========================================================================================================================================
0
//ID    MapNumber     Range  	PositionX      	PositionY      	Direction      	Comment
240		06				00			61				50				02			//bau		
240		06				00			61				125				02			//bau		
577		06				00			61				47				02			//poções
247		06				20			61				30				03			//guard				
247		06				20			79				53				02			//guard
247		06				20			65				17				01			//guard			
247		06				20			37				108				05			//guard
247		06				20			39				13				02			//guard
//257	06				00			61				38				02			//elf buff			
end

//=========================================================================================================================================
// [SPOTS] ARENA
//=========================================================================================================================================
1
//Monster      MapNumber      Range      BeginPosX      BeginPosY      EndPosX      EndPosY      Direction      Quantity      Comment
64             06             3          052            114            052          114          -1             7             //Ogre Archer
64             06             3          039            114            039          114          -1             7             //Ogre Archer
64             06             3          024            114            024          114          -1             7             //Ogre Archer
93             06             3          071            114            071          114          -1             7             //Giant Ogre
93             06             3          089            114            089          114          -1             7             //Giant Ogre
351            06             3          070            098            070          098          -1             7             //Splinter Wolf
300            06             3          047            088            047          088          -1             7             //Hero Mutant
303            06             3          047            071            047          071          -1             7             //Gigas Golem
273            06             3          069            076            069          076          -1             7             //Necron
268            06             3          069            072            069          072          -1             7             //Death Angel
173            06             3          067            056            067          056          -1             7             //Chaos Castle
290            06             3          048            057            048          057          -1             7             //Lizard Warrior
75             06             3          048            038            048          038          -1             7             //Great Drakan
430            06             3          063            029            063          029          -1             7             //Dark Skull Soldier
433            06             3          030            039            030          039          -1             7             //Magic Skeleton
355            06             3          030            057            030          057          -1             7             //Kentauros
306            06             3          030            075            030          075          -1             7             //Death Rider
67             06             3          030            092            030          092          -1             7             //Metal Balrog
72             06             3          012            091            012          091          -1             7             //Phanton Knight
74             06             3          012            075            012          075          -1             7             //Alpha Crust
357            06             3          012            056            012          056          -1             7             //Genocider
360            06             3          012            039            012          039          -1             7             //Dread Fear
429            06             3          010            027            010          027          -1             7             //Chief Skeleton Archer
428            06             3          039            027            039          027          -1             7             //Chief Skeleton Warrior
337            06             3          009            008            009          008          -1             7             //Schriker
353            06             3          039            008            039          008          -1             7             //Satyros
432            06             3          084            012            084          012          -1             7             //Red Skeleton Knight
432            06             3          090            037            090          037          -1             7             //Red Skeleton Knight
356            06             3          090            056            090          056          -1             7             //Gigantis
end

//=========================================================================================================================================
// MONSTERS
//=========================================================================================================================================
2
//Monster      Map      Range      PositionX      PositionY      Direction      Comment


end
