0																						
//Section   Type   Level   Dur   Skill   Luck   Option   ExcOp	SetOp	JoH	OEx	Socket1	Socket2	Socket3	Socket4	Socket5														
13	0	0	0	0	1	0	0	0	0	0	255	255	255	255	255	255	0	//Guardian Angel				
13	1	0	0	0	1	0	0	0	0	0	255	255	255	255	255	255	0	//Imp				
13	2	0	0	0	1	0	0	0	0	0	255	255	255	255	255	255	0	//Horn of Uniria				
13	4	0	0	0	1	0	0	0	0	0	255	255	255	255	255	255	0	//Dark Horse				
13	5	0	0	0	1	0	0	0	0	0	255	255	255	255	255	255	0	//Dark Raven				
14	3	0	255	0	1	0	0	0	0	0	255	255	255	255	255	255	0	//Large Healing Potion				
14	6	0	255	0	1	0	0	0	0	0	255	255	255	255	255	255	0	//Large Mana Potion				
14	7	0	0	0	1	0	0	0	0	0	255	255	255	255	255	255	0	//Siege Potion				
14	10	0	0	0	1	0	0	0	0	0	255	255	255	255	255	255	0	//Town Portal Scroll				
14	9	0	0	0	1	0	0	0	0	0	255	255	255	255	255	255	0	//Ale				
13	14	0	0	0	1	0	0	0	0	0	255	255	255	255	255	255	0	//Loch's Feather				
13	16	0	0	0	1	0	0	0	0	0	255	255	255	255	255	255	0	//Scroll of Archangel				
13	17	0	0	0	1	0	0	0	0	0	255	255	255	255	255	255	0	//Blood Bone				
13	18	0	0	0	1	0	0	0	0	0	255	255	255	255	255	255	0	//Invisibility Cloak				
13	31	0	0	0	1	0	0	0	0	0	255	255	255	255	255	255	0	//Spirit				
13	32	0	0	0	1	0	0	0	0	0	255	255	255	255	255	255	0	//Splinter of Armor				
13	29	0	0	0	1	0	0	0	0	0	255	255	255	255	255	255	0	//Armor of Guardsman				
14	17	7	0	0	1	0	0	0	0	0	255	255	255	255	255	255	0	//Devil's Eye				
14	18	7	0	0	1	0	0	0	0	0	255	255	255	255	255	255	0	//Devil's Key				
14	23	0	0	0	1	0	0	0	0	0	255	255	255	255	255	255	0	//Scroll of the Emperor				
14	24	0	0	0	1	0	0	0	0	0	255	255	255	255	255	255	0	//Broken Sword				
14	25	0	0	0	1	0	0	0	0	0	255	255	255	255	255	255	0	//Tear of Elf				
14	26	0	0	0	1	0	0	0	0	0	255	255	255	255	255	255	0	//Soul Shard of Wizard				
14	29	7	0	0	1	0	0	0	0	0	255	255	255	255	255	255	0	//Symbol of Kundun				
14	65	0	0	0	1	0	0	0	0	0	255	255	255	255	255	255	0	//Death-beam Knight Flame				
14	66	0	0	0	1	0	0	0	0	0	255	255	255	255	255	255	0	//Hell-Miner Horn				
14	67	0	0	0	1	0	0	0	0	0	255	255	255	255	255	255	0	//Dark Phoenix Feather				
14	68	0	0	0	1	0	0	0	0	0	255	255	255	255	255	255	0	//Abyssal Eye				
14	23	1	255	0	1	0	0	0	0	0	255	255	255	255	255	255	0	//Ring of Honor				
14	24	1	255	0	1	0	0	0	0	0	255	255	255	255	255	255	0	//Dark Stone				
13	67	0	0	0	1	0	0	0	0	0	255	255	255	255	255	255	0	//Pet Rudolph				
end																						
